"sector";"before90";"mean_rel_price"
"Chemical";"Преди 1990";"0,993140135593418"
"Chemical";"След 1990";"1,061477190456828"
"Coal";"Преди 1990";"0,968166485230381"
"Coal";"След 1990";"1,041623211068923"
"Construction";"Преди 1990";"0,999112574789008"
"Construction";"След 1990";"1,002674551503226"
"Electrica";"Преди 1990";"0,981823352098669"
"Electrica";"След 1990";"0,921103896713071"
"Electricity";"Преди 1990";"0,994886051178967"
"Electricity";"След 1990";"1,074096201874309"
"Food";"Преди 1990";"1,024725210461519"
"Food";"След 1990";"1,003385766731298"
"Garment";"Преди 1990";"1,062380806183794"
"Garment";"След 1990";"0,923804070402921"
"Glass";"Преди 1990";"1,023913405760856"
"Glass";"След 1990";"0,991888031925109"
"Leather";"Преди 1990";"1,013999704089430"
"Leather";"След 1990";"0,987141454589456"
"Machinery";"Преди 1990";"0,999665010379995"
"Machinery";"След 1990";"0,975538904810391"
"Non-ferrous metallurgy";"Преди 1990";"1,009912656426257"
"Non-ferrous metallurgy";"След 1990";"1,115226475661338"
"Oil";"Преди 1990";"0,967761668048580"
"Oil";"След 1990";"1,065296276485105"
"Other";"Преди 1990";"0,990978890255504"
"Other";"След 1990";"0,928498972943743"
"Paper";"Преди 1990";"0,988529282566563"
"Paper";"След 1990";"1,073472670894985"
"Printing";"Преди 1990";"1,041668065404764"
"Printing";"След 1990";"1,058780881298856"
"Steel";"Преди 1990";"0,984321483059262"
"Steel";"След 1990";"1,223032684041323"
"Textile";"Преди 1990";"1,013213425765441"
"Textile";"След 1990";"0,980394130219096"
"Total";"Преди 1990";"1,000000000000000"
"Total";"След 1990";"1,000000000000000"
"Wood";"Преди 1990";"1,016416409219590"
"Wood";"След 1990";"0,971750700783763"
